sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
2970,M,66.81,Others,41.69,Others,Science,66.55,Comm&Mgmt,No,64.19,Mkt&Fin,77.44,Not Placed,328796.0
2971,M,40.89,Others,60.12,Others,Science,51.58,Comm&Mgmt,Yes,75.39,Mkt&Fin,77.89,Not Placed,320836.0
2972,M,57.78,Others,49.69,Central,Science,80.66,Sci&Tech,No,58.8,Mkt&Fin,77.73,Not Placed,
2973,M,61.94,Others,37.0,Central,Science,77.93,Comm&Mgmt,No,98.0,Mkt&HR,73.64,Not Placed,
2974,M,42.72,Central,73.86,Central,Commerce,91.0,Comm&Mgmt,No,69.77,Mkt&Fin,67.69,Placed,695168.0
2975,M,62.02,Others,59.8,Others,Science,74.43,Comm&Mgmt,No,78.88,Mkt&HR,77.89,Not Placed,
2976,M,61.24,Others,68.39,Others,Science,83.68,Sci&Tech,No,98.0,Mkt&Fin,65.45,Placed,284793.0
2977,F,89.4,Others,89.55,Central,Commerce,64.15,Comm&Mgmt,No,76.53,Mkt&Fin,63.69,Placed,260874.0
2978,M,40.89,Central,74.08,Central,Science,50.0,Comm&Mgmt,No,63.33,Mkt&HR,71.41,Placed,
2979,M,67.24,Central,84.16,Central,Arts,59.64,Sci&Tech,No,96.04,Mkt&Fin,77.89,Placed,
2980,M,54.72,Others,60.01,Central,Commerce,71.09,Comm&Mgmt,No,98.0,Mkt&Fin,59.96,Placed,516487.0
2981,F,89.4,Central,78.28,Others,Science,81.28,Comm&Mgmt,No,50.0,Mkt&Fin,61.02,Placed,330373.0
2982,M,58.95,Others,70.3,Others,Science,81.21,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,245358.0
2983,M,40.89,Central,57.08,Others,Science,55.59,Comm&Mgmt,Yes,75.98,Mkt&Fin,60.9,Not Placed,257871.0
2984,M,50.69,Others,60.87,Central,Arts,69.82,Comm&Mgmt,No,94.2,Mkt&HR,53.52,Not Placed,308642.0
2985,M,64.7,Others,92.11,Central,Science,76.26,Comm&Mgmt,No,87.39,Mkt&HR,61.33,Not Placed,
2986,M,89.4,Central,87.99,Others,Science,86.0,Comm&Mgmt,Yes,78.85,Mkt&Fin,77.89,Not Placed,337334.0
2987,F,89.4,Central,91.34,Central,Commerce,80.99,Comm&Mgmt,Yes,78.6,Mkt&Fin,75.17,Placed,
2988,M,50.94,Central,52.76,Central,Arts,77.77,Comm&Mgmt,No,98.0,Mkt&HR,61.98,Not Placed,306543.0
2989,M,59.53,Others,82.66,Central,Science,69.5,Others,No,83.14,Mkt&Fin,72.33,Placed,
2990,M,89.4,Others,48.73,Central,Science,78.79,Comm&Mgmt,Yes,98.0,Mkt&Fin,70.54,Not Placed,278242.0
2991,M,71.42,Others,50.43,Others,Arts,77.6,Comm&Mgmt,No,54.17,Mkt&HR,77.37,Not Placed,447858.0
2992,M,67.16,Others,92.85,Central,Commerce,72.15,Comm&Mgmt,No,78.14,Mkt&Fin,74.03,Not Placed,
2993,M,84.83,Central,37.0,Central,Science,55.08,Sci&Tech,No,98.0,Mkt&HR,73.85,Not Placed,
2994,M,40.89,Central,83.2,Central,Commerce,75.12,Comm&Mgmt,No,74.91,Mkt&Fin,76.44,Placed,294918.0
2995,M,88.06,Others,53.09,Others,Science,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
2996,F,79.12,Central,84.85,Others,Commerce,72.43,Sci&Tech,No,84.74,Mkt&HR,70.11,Placed,323701.0
2997,M,59.61,Others,64.59,Central,Science,80.62,Comm&Mgmt,No,98.0,Mkt&Fin,65.11,Not Placed,
2998,M,71.6,Others,73.6,Others,Commerce,91.0,Comm&Mgmt,Yes,69.22,Mkt&Fin,70.68,Not Placed,335608.0
2999,M,89.4,Central,56.12,Others,Science,91.0,Sci&Tech,No,98.0,Mkt&HR,52.88,Placed,203967.0
3000,F,43.34,Others,82.33,Others,Science,88.24,Sci&Tech,No,98.0,Mkt&Fin,77.89,Not Placed,
3001,F,50.09,Central,56.5,Others,Science,91.0,Comm&Mgmt,Yes,98.0,Mkt&Fin,65.39,Not Placed,200000.0
3002,M,57.83,Central,55.9,Others,Arts,90.02,Comm&Mgmt,No,98.0,Mkt&Fin,57.9,Not Placed,200000.0
3003,M,89.4,Others,62.3,Others,Science,88.23,Sci&Tech,No,98.0,Mkt&Fin,69.83,Not Placed,200000.0
3004,F,40.89,Central,59.19,Central,Science,64.02,Comm&Mgmt,No,80.84,Mkt&HR,75.06,Placed,284805.0
3005,M,69.36,Central,97.7,Central,Science,76.57,Comm&Mgmt,Yes,98.0,Mkt&Fin,73.03,Placed,323815.0
3006,M,89.4,Central,61.19,Central,Science,85.5,Sci&Tech,No,78.06,Mkt&HR,76.26,Placed,300483.0
3007,M,70.55,Others,37.0,Others,Science,61.64,Comm&Mgmt,Yes,98.0,Mkt&Fin,74.44,Not Placed,
3008,M,80.71,Central,54.73,Central,Science,78.02,Comm&Mgmt,No,79.96,Mkt&Fin,73.53,Placed,244853.0
3009,F,40.89,Central,87.0,Others,Science,64.87,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
3010,M,80.65,Others,69.57,Central,Science,71.64,Sci&Tech,No,75.85,Mkt&HR,65.76,Not Placed,271886.0
3011,M,86.69,Others,97.7,Others,Science,59.88,Sci&Tech,No,76.87,Mkt&Fin,57.86,Placed,298361.0
3012,M,67.99,Others,64.67,Others,Science,80.54,Others,No,98.0,Mkt&Fin,69.84,Placed,323377.0
3013,M,64.47,Central,75.55,Others,Commerce,68.67,Comm&Mgmt,No,82.12,Mkt&Fin,77.05,Placed,309449.0
3014,M,82.54,Central,57.4,Central,Science,65.4,Comm&Mgmt,Yes,98.0,Mkt&Fin,67.9,Placed,321704.0
3015,M,89.4,Central,66.89,Others,Science,81.41,Comm&Mgmt,No,58.59,Mkt&Fin,60.32,Placed,301758.0
3016,M,89.4,Others,78.69,Central,Commerce,71.85,Comm&Mgmt,No,98.0,Mkt&Fin,70.0,Placed,299684.0
3017,M,63.77,Central,61.13,Central,Science,59.28,Comm&Mgmt,No,69.42,Mkt&HR,77.89,Placed,
3018,M,46.63,Central,42.92,Central,Commerce,68.03,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,306947.0
3019,F,64.65,Others,59.88,Central,Commerce,89.85,Comm&Mgmt,No,98.0,Mkt&Fin,57.48,Not Placed,280842.0
3020,M,66.46,Others,89.86,Central,Commerce,77.22,Comm&Mgmt,No,95.74,Mkt&Fin,70.65,Not Placed,240696.0
3021,F,65.95,Others,82.79,Central,Science,91.0,Comm&Mgmt,No,57.08,Mkt&HR,60.42,Not Placed,221204.0
3022,M,89.4,Others,54.3,Others,Science,91.0,Sci&Tech,Yes,98.0,Mkt&Fin,68.5,Placed,280968.0
3023,M,64.89,Central,80.54,Central,Commerce,54.46,Comm&Mgmt,No,68.08,Mkt&HR,59.81,Placed,
3024,M,60.54,Central,56.39,Central,Science,82.64,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,326946.0
3025,M,76.52,Central,85.63,Others,Science,81.04,Comm&Mgmt,No,98.0,Mkt&Fin,61.8,Placed,261787.0
3026,M,51.59,Central,61.68,Others,Science,65.44,Comm&Mgmt,No,95.29,Mkt&Fin,77.89,Not Placed,
3027,M,48.33,Central,78.52,Central,Science,66.57,Comm&Mgmt,No,98.0,Mkt&Fin,60.88,Placed,200000.0
3028,M,40.89,Others,63.02,Others,Science,70.35,Comm&Mgmt,No,63.68,Mkt&HR,65.78,Not Placed,
3029,M,46.99,Others,63.49,Central,Commerce,68.53,Comm&Mgmt,No,98.0,Mkt&Fin,71.48,Not Placed,326576.0
3030,F,73.76,Others,37.0,Central,Science,83.13,Comm&Mgmt,No,71.02,Mkt&Fin,77.89,Placed,
3031,M,74.18,Central,63.8,Central,Science,52.18,Comm&Mgmt,No,98.0,Mkt&Fin,64.8,Placed,
3032,M,58.0,Others,89.36,Central,Science,52.15,Comm&Mgmt,No,73.99,Mkt&HR,71.33,Placed,322334.0
3033,M,40.89,Central,44.11,Others,Science,50.0,Comm&Mgmt,No,57.14,Mkt&HR,77.89,Not Placed,
3034,M,86.49,Central,70.24,Central,Commerce,60.92,Comm&Mgmt,Yes,98.0,Mkt&Fin,60.23,Placed,225982.0
3035,M,68.33,Others,88.72,Central,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,67.5,Placed,284385.0
3036,M,66.45,Central,63.85,Others,Science,82.72,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,
3037,M,50.42,Others,51.43,Central,Commerce,52.4,Comm&Mgmt,Yes,70.15,Mkt&Fin,69.27,Not Placed,
3038,F,89.4,Others,68.89,Others,Science,77.72,Comm&Mgmt,No,77.59,Mkt&Fin,77.89,Placed,297864.0
3039,F,71.73,Central,93.56,Central,Commerce,71.0,Comm&Mgmt,No,98.0,Mkt&Fin,71.2,Placed,
3040,F,81.66,Central,82.12,Others,Science,70.27,Sci&Tech,No,74.68,Mkt&HR,63.07,Placed,
3041,F,43.93,Central,86.16,Central,Science,64.71,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
3042,M,87.81,Central,64.99,Others,Commerce,69.88,Comm&Mgmt,No,98.0,Mkt&HR,70.3,Not Placed,334102.0
3043,M,42.59,Others,49.04,Central,Science,50.0,Sci&Tech,No,80.72,Mkt&HR,66.19,Not Placed,
3044,M,83.5,Others,60.51,Others,Commerce,78.87,Comm&Mgmt,No,82.16,Mkt&HR,77.89,Placed,341635.0
3045,M,69.95,Others,65.64,Others,Science,81.15,Comm&Mgmt,Yes,98.0,Mkt&HR,73.1,Placed,
3046,F,73.25,Central,57.04,Central,Science,70.28,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,
3047,M,50.6,Others,42.01,Central,Commerce,58.51,Comm&Mgmt,No,72.08,Mkt&Fin,62.59,Not Placed,
3048,M,87.8,Central,87.44,Central,Commerce,74.72,Comm&Mgmt,Yes,98.0,Mkt&Fin,59.29,Placed,
3049,F,62.76,Others,54.95,Others,Science,51.23,Comm&Mgmt,No,74.72,Mkt&HR,69.95,Not Placed,
3050,M,64.27,Others,67.8,Others,Science,73.14,Comm&Mgmt,Yes,90.87,Mkt&Fin,68.47,Not Placed,
3051,M,81.51,Others,56.46,Others,Science,74.46,Comm&Mgmt,Yes,98.0,Mkt&Fin,76.96,Placed,757802.0
3052,M,89.4,Central,78.86,Central,Science,86.87,Sci&Tech,No,98.0,Mkt&Fin,71.03,Placed,283686.0
3053,M,58.86,Central,71.28,Others,Science,64.5,Comm&Mgmt,No,95.75,Mkt&Fin,71.63,Placed,327844.0
3054,M,64.86,Others,56.46,Others,Science,65.17,Comm&Mgmt,No,98.0,Mkt&Fin,51.41,Placed,200115.0
3055,M,46.09,Others,70.63,Central,Science,73.63,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Placed,255706.0
3056,F,62.87,Others,97.7,Central,Science,75.55,Comm&Mgmt,No,56.34,Mkt&HR,51.21,Not Placed,
3057,F,48.66,Central,51.42,Central,Arts,56.24,Comm&Mgmt,No,98.0,Mkt&HR,70.34,Not Placed,200000.0
3058,M,53.25,Others,52.85,Others,Science,64.11,Comm&Mgmt,No,84.83,Mkt&Fin,73.92,Not Placed,940000.0
3059,M,40.89,Others,42.64,Central,Science,73.6,Comm&Mgmt,No,98.0,Mkt&HR,62.65,Not Placed,200584.0
3060,M,88.28,Central,59.24,Central,Science,86.66,Comm&Mgmt,No,52.91,Mkt&Fin,77.89,Not Placed,276967.0
3061,M,54.5,Central,59.31,Others,Science,69.99,Comm&Mgmt,No,98.0,Mkt&HR,71.15,Placed,279724.0
3062,M,53.46,Central,51.18,Central,Science,91.0,Comm&Mgmt,Yes,64.59,Mkt&HR,66.58,Placed,291709.0
3063,M,46.99,Others,72.2,Others,Arts,50.0,Comm&Mgmt,No,83.39,Mkt&HR,58.45,Placed,285885.0
3064,M,40.89,Others,60.32,Others,Commerce,86.06,Others,Yes,64.73,Mkt&Fin,77.89,Not Placed,309763.0
3065,M,89.4,Central,94.1,Central,Science,91.0,Comm&Mgmt,No,81.47,Mkt&HR,73.74,Not Placed,272780.0
3066,M,83.03,Central,78.74,Others,Science,75.49,Comm&Mgmt,No,69.06,Mkt&HR,71.89,Placed,314102.0
3067,F,47.46,Central,68.22,Others,Commerce,56.49,Comm&Mgmt,No,98.0,Mkt&Fin,63.82,Not Placed,
3068,M,85.86,Others,64.26,Others,Science,69.37,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,
3069,M,77.28,Central,61.19,Central,Science,88.38,Comm&Mgmt,No,52.76,Mkt&Fin,70.72,Placed,
3070,M,89.4,Central,78.69,Others,Science,88.08,Comm&Mgmt,No,98.0,Mkt&Fin,69.33,Placed,329721.0
3071,F,89.24,Central,89.78,Central,Science,81.77,Comm&Mgmt,Yes,72.56,Mkt&HR,77.89,Not Placed,
3072,M,47.19,Central,65.02,Central,Science,70.11,Comm&Mgmt,No,98.0,Mkt&HR,69.25,Not Placed,266754.0
3073,M,58.59,Central,84.93,Central,Science,69.4,Sci&Tech,Yes,98.0,Mkt&Fin,68.56,Placed,313122.0
3074,M,88.42,Central,70.47,Others,Science,72.05,Comm&Mgmt,No,91.24,Mkt&HR,77.89,Placed,325763.0
3075,M,57.92,Others,61.25,Central,Science,77.3,Comm&Mgmt,No,98.0,Mkt&HR,67.42,Placed,267697.0
3076,M,44.42,Central,47.99,Central,Arts,79.09,Sci&Tech,No,59.82,Mkt&HR,69.73,Not Placed,
3077,M,40.89,Others,89.92,Central,Commerce,50.0,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Placed,
3078,M,40.89,Others,46.89,Others,Commerce,64.31,Comm&Mgmt,No,98.0,Mkt&HR,58.3,Not Placed,
3079,M,87.29,Central,90.18,Central,Science,55.01,Comm&Mgmt,No,77.64,Mkt&Fin,73.9,Not Placed,
3080,M,56.39,Central,45.31,Central,Commerce,91.0,Comm&Mgmt,Yes,98.0,Mkt&HR,77.56,Placed,297423.0
3081,M,61.49,Central,73.63,Others,Arts,83.49,Comm&Mgmt,No,74.29,Mkt&Fin,51.34,Placed,280800.0
3082,M,89.4,Others,72.21,Central,Commerce,76.47,Comm&Mgmt,No,98.0,Mkt&Fin,66.9,Placed,279342.0
3083,M,89.4,Others,70.1,Central,Science,86.47,Comm&Mgmt,Yes,81.88,Mkt&HR,72.29,Not Placed,326416.0
3084,M,40.89,Others,63.53,Others,Science,56.86,Comm&Mgmt,No,98.0,Mkt&HR,63.81,Placed,273721.0
3085,M,50.87,Others,70.84,Others,Science,58.88,Sci&Tech,Yes,98.0,Mkt&Fin,67.24,Not Placed,200000.0
3086,M,81.61,Others,75.78,Central,Science,73.61,Comm&Mgmt,No,71.33,Mkt&HR,71.48,Placed,
3087,M,53.01,Others,37.0,Others,Science,64.62,Comm&Mgmt,No,98.0,Mkt&Fin,77.27,Placed,
3088,M,54.4,Central,49.96,Central,Science,74.52,Comm&Mgmt,No,98.0,Mkt&Fin,53.96,Placed,338045.0
3089,M,82.96,Central,90.33,Central,Science,91.0,Comm&Mgmt,Yes,87.72,Mkt&Fin,77.3,Placed,
3090,M,58.87,Central,55.08,Central,Commerce,61.24,Comm&Mgmt,No,92.85,Mkt&HR,76.69,Not Placed,
3091,M,67.45,Others,69.85,Central,Science,67.51,Sci&Tech,Yes,82.58,Mkt&HR,71.67,Placed,257418.0
3092,M,74.71,Others,89.62,Others,Science,70.75,Comm&Mgmt,No,80.51,Mkt&Fin,72.53,Not Placed,215045.0
3093,M,67.45,Central,74.63,Central,Science,80.97,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,492306.0
3094,F,40.89,Central,84.96,Central,Science,50.0,Sci&Tech,No,98.0,Mkt&Fin,70.88,Placed,
3095,M,74.82,Central,68.12,Others,Science,66.45,Sci&Tech,Yes,98.0,Mkt&Fin,76.56,Not Placed,284256.0
3096,M,77.8,Others,54.51,Central,Science,85.58,Comm&Mgmt,Yes,94.48,Mkt&Fin,77.89,Not Placed,
3097,M,86.42,Others,48.52,Central,Arts,67.54,Comm&Mgmt,Yes,98.0,Mkt&Fin,76.1,Not Placed,291463.0
3098,M,40.89,Central,37.0,Others,Commerce,83.21,Comm&Mgmt,No,53.02,Mkt&HR,77.89,Not Placed,
3099,M,63.15,Central,37.49,Others,Science,68.47,Comm&Mgmt,No,51.56,Mkt&HR,77.89,Placed,
3100,M,40.89,Central,63.81,Others,Commerce,64.31,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,324311.0
3101,M,76.56,Others,64.39,Others,Commerce,83.93,Comm&Mgmt,Yes,60.8,Mkt&HR,73.25,Placed,200000.0
3102,M,89.4,Central,87.74,Central,Science,81.38,Sci&Tech,Yes,98.0,Mkt&HR,77.89,Placed,272351.0
3103,M,89.4,Central,67.25,Central,Commerce,85.56,Comm&Mgmt,No,98.0,Mkt&Fin,73.87,Placed,
3104,M,73.13,Others,37.0,Central,Science,80.17,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
3105,M,76.15,Central,51.69,Central,Science,91.0,Comm&Mgmt,No,50.0,Mkt&HR,52.97,Placed,259977.0
3106,F,40.89,Central,66.36,Others,Science,72.38,Sci&Tech,Yes,98.0,Mkt&HR,72.27,Placed,260980.0
3107,M,69.58,Others,57.69,Central,Science,75.68,Comm&Mgmt,Yes,98.0,Mkt&Fin,65.17,Placed,260188.0
3108,M,58.33,Central,61.57,Central,Science,79.93,Comm&Mgmt,No,96.29,Mkt&Fin,76.3,Not Placed,200000.0
3109,M,58.21,Others,50.37,Central,Commerce,64.99,Comm&Mgmt,No,61.16,Mkt&HR,77.89,Not Placed,203718.0
3110,F,77.31,Others,80.06,Others,Science,67.51,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,295756.0
3111,M,72.84,Central,46.5,Others,Science,67.68,Comm&Mgmt,No,98.0,Mkt&HR,76.5,Not Placed,323659.0
3112,M,73.07,Central,87.07,Central,Commerce,91.0,Comm&Mgmt,No,71.81,Mkt&Fin,57.53,Placed,326404.0
3113,M,52.25,Others,37.0,Central,Science,80.06,Comm&Mgmt,Yes,72.21,Mkt&HR,61.28,Not Placed,
3114,M,84.66,Central,61.46,Others,Science,83.5,Sci&Tech,Yes,63.35,Mkt&Fin,77.89,Placed,318803.0
3115,M,88.13,Others,60.77,Others,Commerce,71.8,Comm&Mgmt,Yes,97.08,Mkt&Fin,62.5,Placed,
3116,M,40.89,Central,53.96,Others,Arts,59.65,Sci&Tech,No,71.64,Mkt&Fin,71.35,Not Placed,
3117,M,62.18,Others,79.33,Others,Commerce,81.3,Comm&Mgmt,No,61.81,Mkt&Fin,65.18,Not Placed,333654.0
3118,M,48.26,Others,77.92,Others,Science,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,69.23,Placed,304445.0
3119,M,61.8,Central,54.67,Central,Commerce,85.51,Comm&Mgmt,No,98.0,Mkt&Fin,61.15,Not Placed,
3120,M,76.74,Others,46.93,Others,Science,57.1,Comm&Mgmt,No,80.38,Mkt&Fin,67.49,Not Placed,324799.0
3121,M,41.88,Central,75.19,Central,Science,69.73,Comm&Mgmt,Yes,82.37,Mkt&Fin,74.09,Not Placed,
3122,M,82.76,Central,52.24,Central,Science,82.89,Comm&Mgmt,Yes,98.0,Mkt&Fin,64.78,Placed,290710.0
3123,F,41.28,Central,58.11,Central,Arts,51.69,Sci&Tech,No,98.0,Mkt&HR,61.09,Not Placed,
3124,M,53.4,Others,89.86,Others,Science,70.07,Comm&Mgmt,No,98.0,Mkt&Fin,75.22,Placed,304527.0
3125,M,48.62,Others,39.68,Others,Science,78.59,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Not Placed,
3126,M,84.63,Central,37.0,Others,Science,88.7,Comm&Mgmt,No,73.55,Mkt&Fin,74.08,Placed,
3127,M,40.89,Others,60.39,Central,Science,65.52,Comm&Mgmt,No,86.63,Mkt&Fin,67.43,Not Placed,
3128,M,40.89,Central,37.0,Central,Science,57.29,Comm&Mgmt,No,67.39,Mkt&HR,77.89,Placed,
3129,M,40.89,Central,79.52,Others,Commerce,70.14,Comm&Mgmt,No,96.51,Mkt&HR,77.89,Placed,
3130,F,87.4,Others,64.48,Central,Science,91.0,Comm&Mgmt,No,69.65,Mkt&Fin,68.14,Placed,275215.0
3131,M,84.01,Others,71.66,Others,Science,81.18,Comm&Mgmt,Yes,98.0,Mkt&Fin,69.96,Not Placed,
3132,F,56.51,Others,51.94,Central,Commerce,77.59,Sci&Tech,No,50.0,Mkt&HR,77.04,Placed,292110.0
3133,M,56.63,Central,62.31,Central,Science,74.44,Comm&Mgmt,No,91.99,Mkt&HR,76.05,Placed,320181.0
3134,F,43.31,Central,59.93,Central,Commerce,69.14,Comm&Mgmt,No,96.61,Mkt&Fin,62.9,Not Placed,
3135,M,40.89,Others,74.09,Others,Science,63.89,Others,No,73.87,Mkt&Fin,65.67,Not Placed,
3136,F,49.87,Central,41.06,Central,Science,74.3,Comm&Mgmt,No,54.57,Mkt&Fin,77.89,Placed,239765.0
3137,F,82.77,Others,92.25,Central,Commerce,68.87,Comm&Mgmt,No,94.54,Mkt&Fin,59.92,Not Placed,213741.0
3138,M,63.46,Others,75.47,Central,Science,55.96,Comm&Mgmt,No,65.56,Mkt&HR,77.8,Not Placed,
3139,M,51.1,Central,37.0,Central,Science,52.59,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,284427.0
3140,M,85.27,Central,75.69,Central,Science,85.69,Comm&Mgmt,No,72.45,Mkt&Fin,66.91,Placed,
3141,M,76.32,Central,72.8,Others,Science,59.73,Comm&Mgmt,Yes,98.0,Mkt&HR,65.25,Not Placed,270751.0
3142,M,40.89,Others,52.23,Others,Commerce,56.79,Comm&Mgmt,No,98.0,Mkt&HR,69.43,Not Placed,
3143,M,51.07,Central,66.99,Others,Science,85.18,Sci&Tech,Yes,98.0,Mkt&Fin,70.57,Not Placed,309693.0
3144,M,70.15,Others,84.97,Central,Science,58.69,Sci&Tech,Yes,59.25,Mkt&Fin,62.03,Placed,
3145,M,40.89,Others,59.27,Others,Science,69.81,Comm&Mgmt,No,98.0,Mkt&Fin,62.59,Placed,256778.0
3146,M,77.57,Central,55.95,Others,Commerce,85.18,Comm&Mgmt,No,94.16,Mkt&Fin,61.8,Not Placed,315478.0
3147,F,70.33,Others,48.35,Central,Science,85.83,Sci&Tech,No,98.0,Mkt&Fin,66.17,Not Placed,264226.0
3148,M,65.53,Others,73.6,Central,Science,76.91,Sci&Tech,No,73.8,Mkt&Fin,74.25,Not Placed,293262.0
3149,M,40.89,Central,52.72,Others,Commerce,67.3,Comm&Mgmt,No,86.23,Mkt&HR,57.56,Not Placed,
3150,M,67.07,Others,51.45,Central,Science,75.72,Comm&Mgmt,No,98.0,Mkt&HR,57.12,Not Placed,200000.0
3151,M,69.06,Others,44.86,Others,Commerce,83.42,Others,No,98.0,Mkt&Fin,72.0,Placed,
3152,M,40.89,Central,54.78,Others,Science,50.0,Comm&Mgmt,No,91.83,Mkt&Fin,76.56,Not Placed,292851.0
3153,M,63.26,Others,80.23,Others,Commerce,73.43,Comm&Mgmt,No,82.44,Mkt&HR,57.97,Placed,200000.0
3154,F,47.31,Others,41.44,Others,Commerce,77.2,Others,Yes,97.19,Mkt&Fin,62.08,Placed,297594.0
3155,M,87.22,Others,70.82,Central,Commerce,86.67,Comm&Mgmt,No,74.91,Mkt&HR,76.82,Placed,618758.0
3156,F,83.16,Others,47.02,Others,Science,84.41,Comm&Mgmt,No,98.0,Mkt&Fin,70.5,Placed,471080.0
3157,M,78.8,Others,46.43,Central,Commerce,78.4,Comm&Mgmt,No,69.83,Mkt&HR,67.81,Placed,322996.0
3158,F,50.33,Central,83.79,Others,Science,86.02,Comm&Mgmt,No,60.88,Mkt&HR,56.29,Placed,306320.0
3159,M,89.4,Others,59.02,Central,Commerce,78.49,Others,Yes,98.0,Mkt&Fin,77.89,Placed,236490.0
3160,M,89.4,Central,65.03,Others,Science,84.23,Comm&Mgmt,Yes,98.0,Mkt&Fin,76.34,Placed,503004.0
3161,M,68.01,Others,78.16,Central,Science,54.83,Comm&Mgmt,No,72.04,Mkt&HR,60.03,Not Placed,292478.0
3162,M,43.73,Others,79.83,Central,Science,50.0,Comm&Mgmt,No,98.0,Mkt&HR,70.61,Not Placed,
3163,M,49.12,Central,52.48,Central,Science,50.0,Comm&Mgmt,No,98.0,Mkt&HR,70.11,Not Placed,287366.0
3164,M,45.8,Central,40.04,Others,Science,58.46,Comm&Mgmt,No,98.0,Mkt&Fin,65.25,Not Placed,
3165,M,63.08,Others,81.91,Others,Science,76.44,Comm&Mgmt,No,58.73,Mkt&Fin,77.89,Not Placed,
3166,M,79.9,Central,71.13,Central,Commerce,81.88,Comm&Mgmt,No,98.0,Mkt&Fin,61.93,Placed,
3167,M,49.49,Others,67.62,Others,Science,50.81,Comm&Mgmt,No,69.37,Mkt&HR,67.48,Placed,
3168,M,67.53,Others,53.89,Central,Commerce,73.64,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
3169,M,82.56,Central,55.63,Others,Science,62.5,Sci&Tech,Yes,83.97,Mkt&Fin,75.11,Placed,253351.0
3170,M,89.4,Central,93.37,Central,Science,69.67,Comm&Mgmt,No,95.53,Mkt&Fin,77.89,Not Placed,
3171,M,59.95,Others,54.77,Others,Science,77.18,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,286377.0
3172,M,83.6,Central,58.33,Central,Science,79.27,Comm&Mgmt,Yes,98.0,Mkt&Fin,66.09,Not Placed,
3173,M,81.52,Others,49.13,Central,Science,86.04,Sci&Tech,No,80.79,Mkt&HR,70.4,Not Placed,
3174,M,53.16,Others,67.1,Central,Science,75.02,Comm&Mgmt,No,93.01,Mkt&HR,67.94,Placed,
3175,F,56.04,Central,93.36,Central,Commerce,61.19,Comm&Mgmt,Yes,80.5,Mkt&Fin,68.18,Not Placed,309391.0
3176,M,60.34,Others,79.24,Central,Commerce,76.58,Comm&Mgmt,No,98.0,Mkt&Fin,68.52,Not Placed,906016.0
3177,M,70.89,Others,83.64,Central,Science,73.16,Comm&Mgmt,No,98.0,Mkt&Fin,60.92,Not Placed,200000.0
3178,M,68.87,Central,97.7,Central,Science,75.17,Comm&Mgmt,Yes,98.0,Mkt&HR,71.86,Not Placed,
3179,M,66.12,Central,62.94,Others,Science,82.41,Comm&Mgmt,No,93.1,Mkt&Fin,67.73,Placed,264867.0
3180,M,85.65,Central,50.55,Others,Commerce,85.53,Comm&Mgmt,No,76.79,Mkt&Fin,77.89,Not Placed,287498.0
3181,M,65.43,Others,76.32,Others,Science,67.98,Comm&Mgmt,No,98.0,Mkt&Fin,62.93,Placed,
3182,M,41.71,Others,69.05,Central,Commerce,83.42,Comm&Mgmt,No,57.47,Mkt&Fin,71.98,Placed,316890.0
3183,M,40.89,Central,50.79,Central,Science,65.05,Sci&Tech,No,78.78,Mkt&HR,77.89,Not Placed,
3184,M,52.07,Central,48.68,Central,Commerce,59.41,Comm&Mgmt,No,98.0,Mkt&Fin,57.14,Not Placed,288008.0
3185,M,89.0,Central,66.58,Central,Science,80.43,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,285037.0
3186,M,63.57,Others,53.6,Others,Science,82.86,Comm&Mgmt,Yes,80.49,Mkt&Fin,76.15,Placed,236163.0
3187,M,66.7,Others,49.94,Others,Science,50.0,Comm&Mgmt,No,71.74,Mkt&Fin,77.89,Not Placed,321589.0
3188,M,70.67,Central,60.43,Central,Science,80.69,Sci&Tech,No,67.32,Mkt&Fin,75.22,Placed,200000.0
